1:[1.0867100710976467, 5.258847887169883]
2:[-1.1653127056555639, 3.1416465506693974]
3:[-2.231451705160633, -2.6981949715785944]
0:[0.8337808158284282, 0.8491880704420521]
2:[-1.4781279167115888, 3.052625329957941]
3:[-2.1185912353138483, -2.6306462160223716]
0:[0.8076382895541439, 0.8665257680845925]
1:[0.6645277339122511, 5.22323767064218]
3:[-2.212530770323075, -2.5338621241848105]
0:[0.8020302687801301, 0.8766613221672571]
1:[1.3717964571671704, 5.106321247684913]
2:[-1.6332120175214153, 3.309773532177583]
0:[0.7518880006889366, 0.8443920969697495]
1:[1.0559822100561267, 5.3183810417235975]
2:[-1.627388907633714, 3.3117781856138007]
3:[-2.1140988783099366, -2.567774071597737]
0:[0.7573457159736675, 0.8631144927090669]
1:[1.2226664365589177, 5.2515771588913225]
2:[-1.479637053569329, 3.1812324946822756]
3:[-2.0848099998986513, -2.690476129250731]
0:[0.8269909501688674, 0.8795520090656813]
2:[-2.0645522381354926, 3.281560224002951]
3:[-2.2493410882216898, -2.651055907972972]
1:[1.5122150128800786, 4.829303048690382]
0:[0.765474539939305, 0.880788137577756]
2:[-1.0823750624612285, 3.2223652563214884]
3:[-2.1196949952037443, -2.641265081460701]
0:[0.8520992047022969, 0.85203160700721]
1:[1.1565171043760891, 4.9619351543091765]
3:[-2.194770877095734, -2.8160727737926643]
0:[0.8034381695136888, 0.8458147222199044]
2:[-1.5508778785544168, 3.1175485226699116]
3:[-2.214029325499156, -2.5532735127788215]
1:[1.0773980285455607, 5.253244361001847]
2:[-1.3825709806396889, 3.2924447190833748]
0:[0.813630497011143, 0.894118883379508]
1:[0.9461353738708312, 5.170005166575223]
3:[-2.1793464454481315, -2.6213359635738858]
1:[1.2364221514662663, 5.491236899374553]
2:[-0.4870907031816094, 3.2283904993974275]
3:[-2.1834332659065727, -2.639425275344655]
0:[0.8237119746981757, 0.8574032725580746]
1:[1.222258209383111, 5.280037505939945]
2:[-0.8044025485509257, 3.2603138377979417]
3:[-2.2206820833190735, -2.66495911813557]
3:[-2.18048535968356, -2.6058491805410804]
1:[1.3756493174379452, 5.301390347505682]
2:[-0.8615707902662085, 3.337402719363491]
3:[-2.168265258200859, -2.4896388189091407]
0:[0.7722005550481164, 0.8599655501427422]
2:[-1.3754157885030946, 3.214010291486945]
3:[-2.122333730903716, -2.5838822854826353]
2:[-1.1174917096532124, 3.250476431747373]
3:[-2.356999540605341, -2.716619563379073]
0:[0.7990309626339005, 0.8972561843446292]
2:[-1.654347226935086, 3.3367562207428376]
3:[-2.0515054225307066, -2.5978666186705066]
2:[-1.7207268290184856, 3.3948983627132048]
3:[-2.205082793892933, -2.6560733857746652]
0:[0.8436041116325284, 0.8564502599411921]
2:[-1.7322103160547104, 3.130379339279648]
3:[-2.072305869831341, -2.528064527437439]
1:[1.5179894975111834, 5.201478221760118]
2:[-1.4431691326620757, 3.1720703501806344]
3:[-2.093587268515162, -2.7772065840664446]
0:[0.7947100659807551, 0.8939010111687302]
0:[0.7805649589795437, 0.8588344073921477]
1:[1.3160845963747843, 5.016966384591258]
0:[0.827436521390063, 0.8585960093923567]
0:[0.7927292274250733, 0.8648205548863301]
1:[1.2331722946839294, 5.116249447555736]
2:[-1.529332394706739, 3.3074362366096053]
3:[-2.0485041080943476, -2.726352232782379]
0:[0.7806643021004319, 0.8706412553467289]
1:[1.5180611710707064, 5.148602492585106]
0:[0.7903979770621206, 0.8434244595503575]
1:[0.7933449353954091, 5.148415827445767]
3:[-2.1478329113999393, -2.7476313134349275]
0:[0.7494321930782162, 0.8701204678639041]
2:[-1.4409822862295583, 3.247028131798162]
3:[-2.095118607212396, -2.5712353860405703]
0:[0.8058274926969413, 0.8670548624000509]
1:[1.0954381145338614, 4.93973467558337]
2:[-0.7704530575096643, 3.3379138036068623]
3:[-2.316201545165487, -2.47431142872266]
0:[0.7404455521473832, 0.8465490219835347]
2:[-1.214819288704988, 3.24499486091324]
2:[-1.1495007242741664, 3.4232269154782373]
0:[0.8223934433242673, 0.8668984074081139]
1:[1.5401970259139792, 5.0200163999357885]
2:[-1.4777901118692693, 3.333893013641386]
3:[-2.043979259729196, -2.698246149844874]
1:[1.3682764734777138, 5.025193007704822]
2:[-1.5141531340579613, 3.3295111545667164]
